labeled size,unlabled size,semi-supervised factor,misclassification rate
128,0,0.01,0.3429361979166667
128,0,0.1,0.31388346354166663
128,0,0.2,0.3389485677083333
128,1024,0.01,0.3463216145833333
128,1024,0.1,0.22412109375
128,1024,0.2,0.24231770833333333
128,512,0.01,0.32732747395833334
128,512,0.1,0.31526692708333337
128,512,0.2,0.267822265625
256,0,0.01,0.21017252604166664
256,0,0.1,0.234375
256,0,0.2,0.23382859002976192
256,1024,0.01,0.23356119791666666
256,1024,0.1,0.18191731770833333
256,1024,0.2,0.22347005208333331
256,512,0.01,0.2640462239583333
256,512,0.1,0.18138020833333335
256,512,0.2,0.16707356770833334
64,0,0.01,0.5522135416666666
64,0,0.1,0.491650390625
64,0,0.2,0.46539713541666666
64,1024,0.01,0.4602864583333333
64,1024,0.1,0.418701171875
64,1024,0.2,0.39436848958333326
64,512,0.01,0.46354166666666663
64,512,0.1,0.405517578125
64,512,0.2,0.424560546875
