labeled size,unlabled size,semi-supervised factor,iteration,wall time
256,0,0.2,2,1503.8624248504639
128,1024,0.1,3,4567.818565368652
256,0,0.01,5,1504.205946445465
128,512,0.1,5,4150.499476671219
64,512,0.2,1,2348.311628103256
128,1024,0.1,5,4087.7001531124115
128,0,0.2,5,723.6732058525085
256,1024,0.01,1,8291.709661245346
64,0,0.1,4,363.39414501190186
128,0,0.01,5,723.938503742218
256,1024,0.01,4,7988.453787088394
128,1024,0.2,3,4147.8585658073425
64,0,0.1,3,424.18634247779846
256,512,0.1,1,8167.631685972214
128,1024,0.01,1,4088.003450155258
256,1024,0.01,2,9128.15637588501
128,0,0.2,4,784.0049457550049
128,512,0.01,1,4628.164258003235
64,1024,0.01,1,2108.495776414871
64,512,0.01,3,1986.7933266162872
128,0,0.2,1,783.8196198940277
256,1024,0.1,3,8947.724374294281
64,1024,0.1,1,2108.5689334869385
128,0,0.01,2,784.4834485054016
64,1024,0.2,2,2111.6643924713135
64,1024,0.1,2,2108.68195772171
64,1024,0.01,5,2172.0268981456757
64,0,0.01,2,424.16602897644043
64,512,0.01,5,2349.6838941574097
64,1024,0.2,4,2348.2715561389923
128,512,0.1,4,3968.0631544589996
128,1024,0.2,5,4567.865631580353
64,512,0.1,5,2048.3198511600494
256,0,0.1,1,1504.5616705417633
128,0,0.1,4,784.1873819828033
256,512,0.01,4,8236.7901699543
64,0,0.2,5,364.2578806877136
256,512,0.1,4,7988.082908630371
128,512,0.1,3,4628.117658615112
64,0,0.1,2,423.8250322341919
256,0,0.2,5,1503.6746706962585
64,512,0.1,1,2047.1340136528015
256,512,0.1,3,9138.024720191956
64,1024,0.2,1,2418.511463165283
128,0,0.01,3,724.0082185268402
256,1024,0.1,5,7988.397067070007
256,512,0.01,1,9192.051595449448
128,0,0.01,4,723.6529977321625
256,1024,0.01,3,9067.938212394714
128,512,0.01,2,4507.643497943878
64,1024,0.01,2,2347.847149372101
256,0,0.2,3,1563.9560565948486
128,512,0.2,4,4087.7884209156036
128,1024,0.1,1,4027.8181517124176
64,512,0.01,4,2058.2521970272064
256,512,0.2,5,7812.83119893074
128,1024,0.01,5,4028.3054950237274
64,0,0.01,3,364.50109601020813
64,512,0.2,4,2115.4383754730225
64,0,0.2,2,423.8646607398987
256,1024,0.2,5,9308.590691804886
64,0,0.2,4,363.7948877811432
64,1024,0.1,4,2469.1634063720703
256,512,0.1,5,8167.837871551514
128,1024,0.01,3,4695.274901390076
256,1024,0.2,3,8348.131018400192
64,0,0.1,1,423.7693347930908
64,0,0.2,3,363.76343393325806
128,0,0.1,1,784.2532298564911
256,512,0.01,2,9128.476904392242
256,512,0.1,2,9078.914493083954
128,512,0.01,3,4037.209305047989
256,0,0.01,4,1503.59339761734
256,0,0.1,5,1504.1340680122375
64,0,0.2,1,424.0017170906067
64,512,0.1,3,2349.966190814972
64,512,0.2,3,2288.5896487236023
256,512,0.01,5,9017.446983575821
256,0,0.01,1,1503.8994023799896
256,512,0.2,3,8048.186259508133
128,1024,0.01,4,4087.9097208976746
128,512,0.2,2,4034.2083773612976
128,1024,0.1,2,4147.971216678619
256,1024,0.01,5,7987.501747131348
256,1024,0.2,4,9188.07304573059
128,512,0.01,5,4568.1068816185
64,512,0.01,1,2348.1262476444244
256,512,0.2,1,7867.817642450333
128,0,0.1,5,784.0691545009613
128,1024,0.2,4,4568.565626859665
256,0,0.1,4,1503.6435658931732
64,512,0.2,2,2047.8005185127258
256,512,0.2,4,9024.050956964493
128,1024,0.2,1,4574.133540630341
256,0,0.2,4,1444.179794549942
64,0,0.01,5,421.2692701816559
256,0,0.1,3,1505.3058693408966
128,1024,0.01,2,4579.8217096328735
64,512,0.1,2,2110.0534694194794
64,1024,0.01,3,2348.140331029892
256,512,0.01,3,7927.81854057312
64,0,0.01,4,423.8400990962982
64,1024,0.1,5,2107.708704471588
256,1024,0.1,4,9128.503560304642
128,1024,0.1,4,4568.626655340195
128,0,0.2,3,723.888466835022
256,0,0.01,3,1503.7719008922577
256,0,0.01,2,1508.8520147800446
64,0,0.1,5,423.930969953537
128,512,0.1,2,4087.7130029201508
64,512,0.1,4,2047.1369659900665
256,1024,0.2,1,9188.071996450424
128,0,0.01,1,785.8316676616669
256,512,0.2,2,8828.602158784866
128,512,0.2,1,4627.794038057327
128,0,0.1,3,784.2475354671478
256,1024,0.1,1,8107.6709089279175
128,0,0.1,2,784.5592062473297
128,512,0.1,1,4629.352716684341
64,1024,0.2,3,2107.897355079651
128,1024,0.2,2,4088.1840200424194
256,0,0.1,2,1564.0367105007172
64,0,0.01,1,423.80897307395935
128,512,0.2,3,4688.396281242371
256,1024,0.1,2,8167.433455467224
64,1024,0.01,4,2108.373955488205
64,512,0.2,5,2288.4858417510986
128,512,0.01,4,3968.2945733070374
128,512,0.2,5,3979.44730424881
128,0,0.2,2,784.1995666027069
64,512,0.01,2,2348.3248898983
64,1024,0.1,3,2417.814344882965
64,1024,0.2,5,2348.367904186249
256,0,0.2,1,1504.0940840244293
256,1024,0.2,2,8060.561876296997
