labeled size,unlabled size,semi-supervised factor,iteration,misclassification rate
256,0,0.2,2,0.14664713541666666
128,1024,0.1,3,0.20255533854166669
256,0,0.01,5,0.14109700520833332
128,512,0.1,5,0.2625325520833333
64,512,0.2,1,0.34318033854166663
128,1024,0.1,5,0.29096679687499993
128,0,0.2,5,0.339111328125
256,1024,0.01,1,0.14986979166666664
64,0,0.1,4,0.399169921875
128,0,0.01,5,0.30983072916666665
256,1024,0.01,4,0.14027273995535713
128,1024,0.2,3,0.22112630208333334
64,0,0.1,3,0.44034830729166663
256,512,0.1,1,0.09612630208333334
128,1024,0.01,1,0.24324544270833331
256,1024,0.01,2,0.12394205729166666
128,0,0.2,4,0.2752766927083333
128,512,0.01,1,0.25275065104166666
64,1024,0.01,1,0.4257161458333333
64,512,0.01,3,0.4332356770833333
128,0,0.2,1,0.2823404947916667
256,1024,0.1,3,0.10654296875
64,1024,0.1,1,0.3680501302083333
128,0,0.01,2,0.27386067708333334
64,1024,0.2,2,0.3516438802083333
64,1024,0.1,2,0.41495768229166663
64,1024,0.01,5,0.40545247395833334
64,0,0.01,2,0.41940104166666664
64,512,0.01,5,0.43315429687499996
64,1024,0.2,4,0.3269856770833333
128,512,0.1,4,0.28193359375
128,1024,0.2,5,0.18995768229166665
64,512,0.1,5,0.36453450520833336
256,0,0.1,1,0.1812802269345238
128,0,0.1,4,0.297705078125
256,512,0.01,4,0.12721354166666665
64,0,0.2,5,0.424169921875
256,512,0.1,4,0.10506184895833334
128,512,0.1,3,0.214453125
64,0,0.1,2,0.3648763020833333
256,0,0.2,5,0.16843610491071428
64,512,0.1,1,0.388916015625
256,512,0.1,3,0.12062174479166665
64,1024,0.2,1,0.3797688802083333
128,0,0.01,3,0.312890625
256,1024,0.1,5,0.074951171875
256,512,0.01,1,0.13108723958333335
128,0,0.01,4,0.29331054687499997
256,1024,0.01,3,0.13053385416666666
128,512,0.01,2,0.28614908854166665
64,1024,0.01,2,0.39453125
256,0,0.2,3,0.1647391183035714
128,512,0.2,4,0.20743815104166666
128,1024,0.1,1,0.20577799479166667
64,512,0.01,4,0.4131510416666666
256,512,0.2,5,0.1111328125
128,1024,0.01,5,0.26829427083333335
64,0,0.01,3,0.4577311197916667
64,512,0.2,4,0.32293294270833334
64,0,0.2,2,0.39112955729166665
256,1024,0.2,5,0.06339518229166666
64,0,0.2,4,0.3915690104166667
64,1024,0.1,4,0.33478190104166666
256,512,0.1,5,0.09399414062499999
128,1024,0.01,3,0.25953776041666665
256,1024,0.2,3,0.11066080729166666
64,0,0.1,1,0.4282877604166667
64,0,0.2,3,0.4472981770833333
128,0,0.1,1,0.2912516276041667
256,512,0.01,2,0.11847330729166666
256,512,0.1,2,0.09918619791666666
128,512,0.01,3,0.2564615885416667
256,0,0.01,4,0.17625325520833332
256,0,0.1,5,0.16627604166666668
64,0,0.2,1,0.4373372395833333
64,512,0.1,3,0.38590494791666663
64,512,0.2,3,0.37980143229166663
256,512,0.01,5,0.160986328125
256,0,0.01,1,0.14187825520833333
256,512,0.2,3,0.11728515625
128,1024,0.01,4,0.259033203125
128,512,0.2,2,0.19690755208333333
128,1024,0.1,2,0.21720377604166666
256,1024,0.01,5,0.12449544270833332
256,1024,0.2,4,0.07259114583333333
128,512,0.01,5,0.31318359375000004
64,512,0.01,1,0.39454752604166665
256,512,0.2,1,0.10113932291666666
128,0,0.1,5,0.32426757812499996
128,1024,0.2,4,0.234375
256,0,0.1,4,0.148291015625
64,512,0.2,2,0.3518880208333333
256,512,0.2,4,0.07460937499999999
128,1024,0.2,1,0.20703125
256,0,0.2,4,0.15211588541666665
64,0,0.01,5,0.4464029947916667
256,0,0.1,3,0.1892764136904762
128,1024,0.01,2,0.24244791666666665
64,512,0.1,2,0.3529622395833333
64,1024,0.01,3,0.44135742187500004
256,512,0.01,3,0.17233072916666664
64,0,0.01,4,0.4046549479166667
64,1024,0.1,5,0.366943359375
256,1024,0.1,4,0.09246419270833334
128,1024,0.1,4,0.20110677083333334
128,0,0.2,3,0.2892578125
256,0,0.01,3,0.16604817708333333
256,0,0.01,2,0.15794270833333332
64,0,0.1,5,0.4379231770833333
128,512,0.1,2,0.23055013020833331
64,512,0.1,4,0.3519368489583333
256,1024,0.2,1,0.11845703125
128,0,0.01,1,0.26466471354166665
256,512,0.2,2,0.07530924479166667
128,512,0.2,1,0.18307291666666667
128,0,0.1,3,0.27654622395833334
256,1024,0.1,1,0.08040364583333333
128,0,0.1,2,0.28050130208333335
128,512,0.1,1,0.1981770833333333
64,1024,0.2,3,0.35039062499999996
128,1024,0.2,2,0.18276367187499998
256,0,0.1,2,0.19381510416666667
64,0,0.01,1,0.4025227864583333
128,512,0.2,3,0.23333333333333334
256,1024,0.1,2,0.16477864583333335
64,1024,0.01,4,0.38370768229166663
64,512,0.2,5,0.383447265625
128,512,0.01,4,0.23297526041666666
128,512,0.2,5,0.22221679687499998
128,0,0.2,2,0.2596028645833333
64,512,0.01,2,0.41977539062499997
64,1024,0.1,3,0.3831705729166667
64,1024,0.2,5,0.33170572916666663
256,0,0.2,1,0.15755208333333331
256,1024,0.2,2,0.10926106770833333
